1.fastq,Command terminated by signal 11
179.52,3224320
2_1.fastq,Command terminated by signal 11
163.16,3218432
2_2.fastq,Command terminated by signal 11
164.33,3216384
3.fastq,Command terminated by signal 11
68.44,3197168
4_1.fastq,Command terminated by signal 11
167.02,3226240
4_2.fastq,Command terminated by signal 11
166.74,3226064
5_1.fastq,Command terminated by signal 11
144.05,3212960
5_2.fastq,Command terminated by signal 11
143.31,3212752
6.fastq,Command terminated by signal 11
131.71,3206864
7_1.fastq,Command terminated by signal 11
239.03,3244064
7_2.fastq,Command terminated by signal 11
234.88,3244096
